DPST1051	M12A	TUT	19	19	Mon 12-13	Block 123
COMP9511	H18A	LAB	19	19	Thu 19-20	CHIK17G13
COMP9444	T16A	TUT	3	24	Tue 16-17	Webst 252
COMP3511	W16A	TUT	19	19	Wed 16-17	CHIK17G13
COMP1911	M14C	TUT	25	25	Mon 14-15	Ainswth101
COMP1911	M14B	TUT	25	25	Mon 14-15	Online
DPHU1007	F15A	TUT	7	18	Fri 15:30-18	Block 105
COMP9311	M18A	TLB	20	20	Mon 18-20	Online
DPST1021	W12A	TUT	5	18	Fri 09-10	Block 105
DPST1032	H09A	TUT	6	18	Thu 09:30-11	Block 215
DPBS1190	M16A	TUT	14	18	Fri 09-10:30	Block 117
COMP6445	H18A	LAB	0	20	Thu 18-20	CybSK17G11
COMP9331	F10B	LAB	8	20	Fri 10-12	ClavierPhU
COMP1531	H11B	TUT	24	24	Thu 11-12	Webst 252
COMP2521	T18B	TUT	17	22	Tue 18-19	Quad G054
DPST1021	T16A	TUT	14	18	Fri 17-18	Block 114
COMP9313	H14C	LAB	14	30	Thu 14-16	H13-E 2061
COMP2511	H17A	TUT	25	25	Thu 17-18	Quad G045
COMP9044	W09A	LAB	3	30	Wed 10-12	StringsME3
COMP9417	H16A	TUT	14	25	Thu 16-17	Online
COMP9331	M12B	LAB	6	20	Mon 12-14	ClavierPhU
COMP1511	F09B	TUT	24	24	Fri 09-10	Quad 1001
DPHU1002	W14A	SEM	42	48	Wed 14-15	OMB 230
DPST1023	M11B	LAB	0	5	Mon 11-13	Online
COMP9313	H16C	LAB	8	30	Thu 16-18	Online
COMP9101	T12B	TUT	4	30	Tue 12-13	Block G13
DPBS1190	W15A	TUT	18	18	Thu 16-17:30	Block 117
COMP1521	W13B	LAB	24	24	Wed 14-16	BongoK17G7
DPST1013	W09C	TUT	13	19	Thu 13-14:30	Block 122
COMP9331	T18B	LAB	11	20	Tue 18-20	Online
COMP1531	T15A	TUT	21	24	Tue 15-16	Webst 252
DPBS1190	M09A	TUT	17	18	Thu 11:30-13	Block 111
DPGE1002	F09A	TUT	20	19	Fri 09-11	Block 115
COMP2041	M15A	LAB	20	30	Mon 16-18	StringsME3
COMP2511	W13A	TUT	25	25	Wed 13-14	OMB151
COMP2511	T09A	LAB	25	25	Tue 10-12	SitarME306
COMP9154	T13A	TUT	7	20	Tue 13-14	Quad G048
COMP2511	H09B	TUT	25	25	Thu 09-10	Quad 1047
DPST1023	H12A	TUT	1	18	Thu 12-13	Block 213
COMP9444	H15A	TUT	7	24	Thu 15-16	Gold G07
COMP1511	T18B	LAB	21	24	Tue 19-21	Online
COMP2521	T12B	LAB	22	22	Tue 13-15	SitarME306
COMP3900	W14B	LAB	20	20	Wed 14-16	ClavierPhU
COMP1521	H18B	LAB	24	24	Thu 19-21	Online
COMP9312	W10A	TUT	8	24	Wed 10:30-12	Lib 176A
DPST1014	T09A	TUT	16	18	Tue 09:30-11	Block 209
COMP9313	H14B	LAB	10	30	Thu 14-16	H13-E 2062
COMP3511	T12A	LAB	18	19	Tue 13-14	CHIK17G13
COMP2511	F14A	TUT	25	25	Fri 14-15	Gold G02
COMP2041	T15B	LAB	30	30	Tue 16-18	StringsME3
